Day ,Cases (Cumulative),Deaths (Cumulative),,,
4/15/09,0.00,0.00,,,
4/16/09,0.00,0.00,,,
4/17/09,0.00,0.00,,,
4/18/09,0.00,0.00,,,
4/19/09,0.00,0.00,,,
4/20/09,0.00,0.00,,,
4/21/09,0.00,0.00,,,
4/22/09,0.00,0.00,,,
4/23/09,0.00,0.00,,,
4/24/09,0.00,0.00,,,
4/25/09,0.00,0.00,,,
4/26/09,0.00,0.00,,,
4/27/09,0.00,0.00,,,
4/28/09,0.00,0.00,,,
4/29/09,0.00,0.00,,,
4/30/09,0.00,0.00,,,
5/1/09,0.00,0.00,,,
5/2/09,0.00,0.00,,,
5/3/09,0.00,0.00,,,
5/4/09,0.00,0.00,,,
5/5/09,0.00,0.00,,,
5/6/09,0.00,0.00,,,
5/7/09,0.00,0.00,,,
5/8/09,0.00,0.00,,,
5/9/09,0.00,0.00,,,
5/10/09,0.00,0.00,,,
5/11/09,0.00,0.00,,,
5/12/09,0.00,0.00,,,
5/13/09,0.00,0.00,,,
5/14/09,0.00,0.00,,,
5/15/09,0.00,0.00,,,
5/16/09,0.00,0.00,,,
5/17/09,0.00,0.00,,,
5/18/09,0.00,0.00,,,
5/19/09,0.01,0.01,,,
5/20/09,0.01,0.01,,,
5/21/09,0.01,0.01,,,
5/22/09,0.01,0.01,,,
5/23/09,0.01,0.01,,,
5/24/09,0.01,0.01,,,
5/25/09,0.01,0.01,,,
5/26/09,0.01,0.01,,,
5/27/09,0.01,0.01,,,
5/28/09,0.01,0.01,,,
5/29/09,0.01,0.01,,,
5/30/09,0.01,0.01,,,
5/31/09,0.01,0.01,,,
6/1/09,0.01,0.02,,,
6/2/09,0.01,0.02,,,
6/3/09,0.01,0.02,,,
6/4/09,0.01,0.02,,,
6/5/09,0.01,0.02,,,
6/6/09,0.01,0.02,,,
6/7/09,0.01,0.02,,,
6/8/09,0.01,0.03,,,
6/9/09,0.01,0.03,,,
6/10/09,0.01,0.03,,,
6/11/09,0.01,0.03,,,
6/12/09,0.01,0.04,,,
6/13/09,0.01,0.04,,,
6/14/09,0.02,0.04,,,
6/15/09,0.02,0.04,,,
6/16/09,0.02,0.04,,,
6/17/09,0.02,0.05,,,
6/18/09,0.02,0.05,,,
6/19/09,0.02,0.06,,,
6/20/09,0.02,0.06,,,
6/21/09,0.02,0.07,,,
6/22/09,0.02,0.07,,,
6/23/09,0.02,0.08,,,
6/24/09,0.02,0.09,,,
6/25/09,0.02,0.09,,,
6/26/09,0.02,0.10,,,
6/27/09,0.02,0.11,,,
6/28/09,0.03,0.12,,,
6/29/09,0.03,0.13,,,
6/30/09,0.03,0.14,,,
7/1/09,0.03,0.15,,,
7/2/09,0.03,0.16,,,
7/3/09,0.03,0.18,,,
7/4/09,0.03,0.17,,,
7/5/09,0.03,0.17,,,
7/6/09,0.03,0.17,,,
7/7/09,0.04,0.18,,,
7/8/09,0.06,0.19,,,
7/9/09,0.08,0.21,,,
7/10/09,0.10,0.22,,,
7/11/09,0.13,0.24,,,
7/12/09,0.17,0.25,,,
7/13/09,0.22,0.27,,,
7/14/09,0.28,0.29,,,
7/15/09,0.37,0.31,,,
7/16/09,0.48,0.33,,,
7/17/09,0.62,0.35,,,
7/18/09,0.81,0.37,,,
7/19/09,1.06,0.40,,,
7/20/09,1.38,0.42,,,
7/21/09,1.80,0.45,,,
7/22/09,2.34,0.48,,,
7/23/09,3.05,0.51,,,
7/24/09,3.09,0.52,,,
7/25/09,3.12,0.52,,,
7/26/09,3.15,0.53,,,
7/27/09,3.19,0.54,,,
7/28/09,3.22,0.54,,,
7/29/09,3.26,0.55,,,
7/30/09,3.29,0.56,,,
7/31/09,3.33,0.56,,,
8/1/09,3.37,0.57,,,
8/2/09,3.40,0.58,,,
8/3/09,3.44,0.58,,,
8/4/09,3.48,0.59,,,
8/5/09,3.51,0.60,,,
8/6/09,3.55,0.60,,,
8/7/09,3.59,0.61,,,
8/8/09,3.63,0.62,,,
8/9/09,3.67,0.63,,,
8/10/09,3.71,0.64,,,
8/11/09,3.75,0.64,,,
8/12/09,3.79,0.65,,,
8/13/09,3.83,0.66,,,
8/14/09,3.87,0.67,,,
8/15/09,3.92,0.68,,,
8/16/09,3.96,0.68,,,
8/17/09,4.00,0.69,,,
8/18/09,4.05,0.70,,,
8/19/09,4.09,0.71,,,
8/20/09,4.14,0.72,,,
8/21/09,4.18,0.73,,,
8/22/09,4.23,0.74,,,
8/23/09,4.27,0.74,,,
8/24/09,4.32,0.75,,,
8/25/09,4.37,0.76,,,
8/26/09,4.41,0.77,,,
8/27/09,4.46,0.78,,,
8/28/09,4.51,0.79,,,
8/29/09,4.56,0.80,,,
8/30/09,4.61,0.81,,,
8/31/09,4.66,0.82,,,
9/1/09,4.71,0.83,,,
9/2/09,4.77,0.84,,,
9/3/09,4.82,0.85,,,
9/4/09,4.88,0.86,,,
9/5/09,4.94,0.87,,,
9/6/09,4.99,0.88,,,
9/7/09,5.05,0.89,,,
9/8/09,5.11,0.91,,,
9/9/09,5.17,0.92,,,
9/10/09,5.23,0.93,,,
9/11/09,5.29,0.94,,,
9/12/09,5.35,0.95,,,
9/13/09,5.41,0.96,,,
9/14/09,5.48,0.97,,,
9/15/09,5.54,0.99,,,
9/16/09,5.61,1.00,,,
9/17/09,5.67,1.01,,,
9/18/09,5.74,1.02,,,
9/19/09,5.80,1.04,,,
9/20/09,5.87,1.05,,,
9/21/09,5.94,1.06,,,
9/22/09,6.01,1.08,,,
9/23/09,6.08,1.09,,,
9/24/09,6.15,1.10,,,
9/25/09,6.22,1.12,,,
9/26/09,6.29,1.13,,,
9/27/09,6.37,1.14,,,
9/28/09,6.44,1.16,,,
9/29/09,6.52,1.17,,,
9/30/09,6.59,1.19,,,
10/1/09,6.67,1.20,,,
10/2/09,6.75,1.22,,,
10/3/09,6.83,1.23,,,
10/4/09,6.90,1.25,,,
10/5/09,6.99,1.26,,,
10/6/09,7.07,1.28,,,
10/7/09,7.15,1.29,,,
10/8/09,7.23,1.31,,,
10/9/09,7.32,1.32,,,
10/10/09,7.40,1.34,,,
10/11/09,7.49,1.36,,,
10/12/09,7.57,1.37,,,
10/13/09,7.66,1.39,,,
10/14/09,7.75,1.41,,,
10/15/09,7.84,1.42,,,
10/16/09,7.93,1.44,,,
10/17/09,8.03,1.46,,,
10/18/09,8.12,1.48,,,
10/19/09,8.21,1.50,,,
10/20/09,8.31,1.51,,,
10/21/09,8.41,1.53,,,
10/22/09,8.50,1.55,,,
10/23/09,8.60,1.57,,,
10/24/09,8.70,1.59,,,
10/25/09,8.80,1.61,,,
10/26/09,8.91,1.63,,,
10/27/09,9.01,1.65,,,
10/28/09,9.12,1.67,,,
10/29/09,9.22,1.69,,,
10/30/09,9.33,1.71,,,
10/31/09,9.44,1.73,,,
11/1/09,9.55,1.75,,,
11/2/09,9.66,1.78,,,
11/3/09,9.77,1.80,,,
11/4/09,9.89,1.82,,,
11/5/09,10.00,1.84,,,
11/6/09,10.12,1.86,,,
11/7/09,10.23,1.89,,,
11/8/09,10.35,1.91,,,
11/9/09,10.47,1.93,,,
11/10/09,10.60,1.96,,,
11/11/09,10.72,1.98,,,
11/12/09,10.84,2.01,,,
11/13/09,10.97,2.03,,,
11/14/09,11.10,2.06,,,
11/15/09,11.23,2.08,,,
11/16/09,11.36,2.11,,,
11/17/09,11.49,2.13,,,
11/18/09,11.62,2.16,,,
11/19/09,11.76,2.19,,,
11/20/09,11.90,2.21,,,
11/21/09,12.03,2.24,,,
11/22/09,12.17,2.27,,,
11/23/09,12.32,2.30,,,
11/24/09,12.46,2.32,,,
11/25/09,12.61,2.35,,,
11/26/09,12.75,2.38,,,
11/27/09,12.90,2.41,,,
11/28/09,13.05,2.44,,,
11/29/09,13.20,2.47,,,
11/30/09,13.36,2.50,,,
12/1/09,13.51,2.53,,,
12/2/09,13.67,2.56,,,
12/3/09,13.83,2.60,,,
12/4/09,13.99,2.63,,,
12/5/09,14.15,2.66,,,
12/6/09,14.32,2.69,,,
12/7/09,14.48,2.73,,,
12/8/09,14.65,2.76,,,
12/9/09,14.82,2.79,,,
12/10/09,14.99,2.83,,,
12/11/09,15.17,2.86,,,
12/12/09,15.35,2.90,,,
12/13/09,15.52,2.93,,,
12/14/09,15.71,2.97,,,
12/15/09,15.89,3.01,,,
12/16/09,16.07,3.04,,,
12/17/09,16.26,3.08,,,
12/18/09,16.45,3.12,,,
12/19/09,16.64,3.16,,,
12/20/09,16.83,3.20,,,
12/21/09,17.03,3.24,,,
12/22/09,17.23,3.28,,,
12/23/09,17.43,3.32,,,
12/24/09,17.63,3.36,,,
12/25/09,17.84,3.40,,,
12/26/09,18.05,3.44,,,
12/27/09,18.26,3.48,,,
12/28/09,18.47,3.52,,,
12/29/09,18.68,3.57,,,
12/30/09,18.90,3.61,,,
12/31/09,19.12,3.66,,,
1/1/10,19.34,3.70,,,
1/2/10,19.57,3.75,,,
1/3/10,19.80,3.79,,,
1/4/10,20.03,3.84,,,
1/5/10,20.26,3.89,,,
1/6/10,20.50,3.94,,,
1/7/10,20.73,3.98,,,
1/8/10,20.98,4.03,,,
1/9/10,21.22,4.08,,,
1/10/10,21.47,4.13,,,
1/11/10,21.72,4.18,,,
1/12/10,21.97,4.24,,,
1/13/10,22.23,4.29,,,
1/14/10,22.48,4.34,,,
1/15/10,22.75,4.39,,,
1/16/10,23.01,4.45,,,
1/17/10,23.28,4.50,,,
1/18/10,23.55,4.56,,,
1/19/10,23.82,4.61,,,
1/20/10,24.10,4.67,,,
1/21/10,24.38,4.73,,,
1/22/10,24.67,4.79,,,
1/23/10,24.95,4.85,,,
1/24/10,25.24,4.91,,,
1/25/10,25.54,4.97,,,
1/26/10,25.83,5.03,,,
1/27/10,26.14,5.09,,,
1/28/10,26.44,5.15,,,
1/29/10,26.75,5.22,,,
1/30/10,27.06,5.28,,,
1/31/10,27.37,5.34,,,
2/1/10,27.69,5.41,,,
2/2/10,28.01,5.48,,,
2/3/10,28.34,5.54,,,
2/4/10,28.67,5.61,,,
2/5/10,29.00,5.68,,,
2/6/10,29.34,5.75,,,
2/7/10,29.68,5.82,,,
2/8/10,30.03,5.89,,,
2/9/10,30.38,5.97,,,
2/10/10,30.73,6.04,,,
2/11/10,31.09,6.12,,,
2/12/10,31.45,6.19,,,
2/13/10,31.82,6.27,,,
2/14/10,32.19,6.34,,,
2/15/10,32.56,6.42,,,
2/16/10,32.94,6.50,,,
2/17/10,33.33,6.58,,,
2/18/10,33.71,6.66,,,
2/19/10,34.11,6.74,,,
2/20/10,34.50,6.83,,,
2/21/10,34.91,6.91,,,
2/22/10,35.31,7.00,,,
2/23/10,35.72,7.08,,,
2/24/10,36.14,7.17,,,
2/25/10,36.56,7.26,,,
2/26/10,36.98,7.35,,,
2/27/10,37.42,7.44,,,
2/28/10,37.85,7.53,,,
3/1/10,38.29,7.62,,,
3/2/10,38.74,7.72,,,
3/3/10,39.19,7.81,,,
3/4/10,39.64,7.91,,,
3/5/10,40.11,8.01,,,
3/6/10,40.57,8.10,,,
3/7/10,41.05,8.20,,,
3/8/10,41.52,8.31,,,
3/9/10,42.01,8.41,,,
3/10/10,42.50,8.51,,,
3/11/10,42.99,8.62,,,
3/12/10,43.49,8.72,,,
3/13/10,44.00,8.83,,,
3/14/10,44.51,8.94,,,
3/15/10,45.03,9.05,,,
3/16/10,45.55,9.16,,,
3/17/10,46.08,9.27,,,
3/18/10,46.62,9.39,,,
3/19/10,47.16,9.50,,,
3/20/10,47.71,9.62,,,
3/21/10,48.27,9.74,,,
3/22/10,48.83,9.86,,,
3/23/10,49.40,9.98,,,
3/24/10,49.97,10.10,,,
3/25/10,50.55,10.23,,,
3/26/10,51.14,10.35,,,
3/27/10,51.74,10.48,,,
3/28/10,52.34,10.61,,,
3/29/10,52.95,10.74,,,
3/30/10,53.56,10.87,,,
3/31/10,54.19,11.01,,,
4/1/10,54.82,11.14,,,
4/2/10,55.46,11.28,,,
4/3/10,56.10,11.42,,,
4/4/10,56.76,11.56,,,
4/5/10,57.42,11.70,,,
4/6/10,58.09,11.85,,,
4/7/10,58.76,11.99,,,
4/8/10,59.45,12.14,,,
4/9/10,60.14,12.29,,,
4/10/10,60.84,12.44,,,
4/11/10,61.55,12.59,,,
4/12/10,62.26,12.75,,,
4/13/10,62.99,12.91,,,
4/14/10,63.72,13.06,,,
4/15/10,64.46,13.23,,,